--------DVBS Program Data!--------
NOTE: Channel Number/Channel Name/Service Type/Free or Scramble/Frequency/Polarity/SymbolRate are forbidden to edit!Only support re-ordering.Forbid delete channel!
Channel Number,Channel Name,Service Type,Free or Scramble,Frequency(MHz),Polarity,SymbolRate(KS/s),[S]
1,Franken Fernsehen HD ,DTV,Free,10714,H,22000
1,RADIOS ESP ,RADIO,Free,10847,V,22000
1,Strong OTA SRT 7510 ,DATA,Free,11244,H,22000
2,Mainfranken HD ,DTV,Free,10714,H,22000
2,Radio Maryja ,RADIO,Free,11186,V,22000
2,Service 6350 ,DATA,Free,11377,V,22000
3,TVA Ostbayern HD ,DTV,Free,10714,H,22000
3,TSR Turkce ,RADIO,Free,11612,H,22000
3,DATASYSTEM ,DATA,Free,11509,V,22000
4,tv oberfranken HD ,DTV,Free,10714,H,22000
4,RNE RADIO 1 ,RADIO,Free,11627,V,22000
4,DATASYSTEM ,DATA,Free,11538,V,22000
5,Niederbayern HD ,DTV,Free,10714,H,22000
5,RNE RADIO 3 ,RADIO,Free,11627,V,22000
5,KaCTFL ,DATA,Free,11612,H,22000
6,tagesschau24 ,DTV,Free,10744,H,22000
6,RNE RADIO 4 ,RADIO,Free,11627,V,22000
6,Pace DS 830 NP ,DATA,Free,11720,H,27500
7,ONE ,DTV,Free,10744,H,22000
7,RNE RADIO 5 TODO NOTICIAS ,RADIO,Free,11627,V,22000
7,Humax PR-HD3000C ,DATA,Free,11758,H,27500
8,arte ,DTV,Free,10744,H,22000
8,RNE RADIO CLASICA ,RADIO,Free,11627,V,22000
8,Pace TDC 866 NSDX ,DATA,Free,11758,H,27500
9,PHOENIX ,DTV,Free,10744,H,22000
9,RNE RADIO EXTERIOR DE ESPAÂ ,RADIO,Free,11627,V,22000
9,Humax ESD 160C ,DATA,Free,11758,H,27500
10,Test-R ,DTV,Free,10744,H,22000
10,Dlf Kultur ,RADIO,Free,11954,H,27500
10,Humax ESD 160C BL2 ,DATA,Free,11758,H,27500
11,ANIXE HD ,DTV,Free,10773,H,22000
11,Dlf ,RADIO,Free,11954,H,27500
11,Humax ESD 160S ,DATA,Free,11798,H,27500
12,QVC HD ,DTV,Free,10773,H,22000
12,Dlf Nova ,RADIO,Free,11954,H,27500
12,Sky service config ,DATA,Free,11798,H,27500
13,HSE24 HD ,DTV,Free,10773,H,22000
13,DRadio DokDeb ,RADIO,Free,11954,H,27500
13,Humax ESD 160S BL2 ,DATA,Free,11798,H,27500
14,SES 75 ,DTV,Free,10773,H,22000
14,ROCK ANTENNE ,RADIO,Free,12148,H,27500
14,BData3 ,DATA,Free,12032,H,27500
15,SOPHIA TV ,DTV,Free,10773,H,22000
15,ERF Plus ,RADIO,Free,12148,H,27500
15,ARD-Data-1 ,DATA,Free,12110,H,27500
16,Genius Plus ,DTV,Free,10773,H,22000
16,ERF Pop ,RADIO,Free,12148,H,27500
16,DATA SYSTEM 94 ,DATA,Free,12285,V,29700
17,HSE24 EXTRA HD ,DTV,Free,10803,H,22000
17,Life Channel CH ,RADIO,Free,12148,H,27500
17,Pace TDS 865 NSD ,DATA,Free,12304,H,27500
18,1-2-3.tv HD ,DTV,Free,10803,H,22000
18,sunshine live ,RADIO,Free,12148,H,27500
18,Pace TDS 865 NSDX ,DATA,Free,12304,H,27500
19,QVC PLUS HD ,DTV,Free,10803,H,22000
19,ANTENNE BAYERN ,RADIO,Free,12148,H,27500
19,Pace TDS 866 NSD ,DATA,Free,12304,H,27500
20,RADIOS ,DTV,Free,10847,V,22000
20,Bayern 1 ,RADIO,Free,12266,H,27500
20,Pace TDS 866 NSDX ,DATA,Free,12304,H,27500
21,LTC ,DTV,Free,10847,V,22000
21,Bayern 2 ,RADIO,Free,12266,H,27500
21,Humax PR-HD3000S ,DATA,Free,12304,H,27500
22,PORTADA ,DTV,Free,10847,V,22000
22,BAYERN 3 ,RADIO,Free,12266,H,27500
22,M7 SAT901 ,DATA,Free,12515,H,22000
23, ,DTV,Free,10847,V,22000
23,BR-KLASSIK ,RADIO,Free,12266,H,27500
23,M7 Zenterio ,DATA,Free,12515,H,22000
24,GU˝A ,DTV,Free,10847,V,22000
24,B5 aktuell ,RADIO,Free,12266,H,27500
24,Nagra DL DSR7121 ,DATA,Free,12515,H,22000
25, ,DTV,Free,10847,V,22000
25,BAYERN plus ,RADIO,Free,12266,H,27500
25,M7 DL DSR7121 ,DATA,Free,12515,H,22000
26, ,DTV,Free,10847,V,22000
26,PULS ,RADIO,Free,12266,H,27500
26,M7 DL DSR8121 ,DATA,Free,12515,H,22000
27, ,DTV,Free,10847,V,22000
27,BR Heimat ,RADIO,Free,12266,H,27500
27,Nagra DL DSR8121 ,DATA,Free,12515,H,22000
28, ,DTV,Free,10847,V,22000
28,B5 plus ,RADIO,Free,12266,H,27500
28,M7 DL DSR7141 ,DATA,Free,12515,H,22000
29,ALQUILER ,DTV,Free,10847,V,22000
29,hr1 ,RADIO,Free,12266,H,27500
29,Nagra DL DSR7141 ,DATA,Free,12515,H,22000
30,BAR+ ,DTV,Free,10847,V,22000
30,hr2 ,RADIO,Free,12266,H,27500
30,M7 DL DSR8141 ,DATA,Free,12515,H,22000
31,ALQUILER ,DTV,Free,10847,V,22000
31,hr3 ,RADIO,Free,12266,H,27500
31,Nagra DL DSR8141 ,DATA,Free,12515,H,22000
32,PORTADA ,DTV,Free,10847,V,22000
32,hr4 ,RADIO,Free,12266,H,27500
32,M7 SAT801 ,DATA,Free,12515,H,22000
33, ,DTV,Free,10847,V,22000
33,YOU FM ,RADIO,Free,12266,H,27500
33,Kathrein DVB SSU ,DATA,Free,12604,H,22000
34, ,DTV,Free,10847,V,22000
34,hr-iNFO ,RADIO,Free,12266,H,27500
34,STB Sony Spain ,DATA,Free,12604,H,22000
35, ,DTV,Free,10847,V,22000
35,MDR SACHSEN ,RADIO,Free,12266,H,27500
35,tvtv Digital ,DATA,Free,12604,H,22000
36, ,DTV,Free,10847,V,22000
36,MDR S-ANHALT ,RADIO,Free,12266,H,27500
36,Samsung iDTV EU Upgrade ,DATA,Free,12604,H,22000
37, ,DTV,Free,10847,V,22000
37,MDR THÜRINGEN ,RADIO,Free,12266,H,27500
37,tvtv premium ,DATA,Free,12604,H,22000
38,CONTRATO ,DTV,Free,10847,V,22000
38,MDR KULTUR ,RADIO,Free,12266,H,27500
38,STB Setone ,DATA,Free,12604,H,22000
39,TEST TCNICO ,DTV,Free,10847,V,22000
39,MDR JUMP ,RADIO,Free,12266,H,27500
39,FP URMET ,DATA,Free,12604,H,22000
40,TEST_CSD1 ,DTV,Free,10847,V,22000
40,MDR SPUTNIK ,RADIO,Free,12266,H,27500
40,KaCTFL ,DATA,Free,12604,H,22000
41,TEST_CSD2 ,DTV,Free,10847,V,22000
41,MDR AKTUELL ,RADIO,Free,12266,H,27500
41,STB Ten Haaft ,DATA,Free,12604,H,22000
42,TEST_CSD3 ,DTV,Free,10847,V,22000
42,MDR KLASSIK ,RADIO,Free,12266,H,27500
42,Triax-Hirschmann ,DATA,Free,12604,H,22000
43,TEST_CSD4 ,DTV,Free,10847,V,22000
43,NDR 2 ,RADIO,Free,12266,H,27500
43,TDT Data ,DATA,Free,12604,H,22000
44,TEST_CSD5 ,DTV,Free,10847,V,22000
44,NDR Kultur ,RADIO,Free,12266,H,27500
44,STB Comag1 ,DATA,Free,12604,H,22000
45, ,DTV,Free,10847,V,22000
45,NDR Info ,RADIO,Free,12266,H,27500
45,STB Panasonic ,DATA,Free,12604,H,22000
46, ,DTV,Free,10847,V,22000
46,N-JOY ,RADIO,Free,12266,H,27500
46,Datendienst T1M ,DATA,Free,12604,H,22000
47, ,DTV,Free,10847,V,22000
47,NDR 90 3 ,RADIO,Free,12266,H,27500
47,tvtv RP ,DATA,Free,12604,H,22000
48, ,DTV,Free,10847,V,22000
48,NDR1WelleNord ,RADIO,Free,12266,H,27500
48,tvtv DIGITAL ,DATA,Free,12604,H,22000
49, ,DTV,Free,10847,V,22000
49,NDR 1 Radio MV ,RADIO,Free,12266,H,27500
49,SGI_1111 ,DATA,Free,12604,H,22000
50, ,DTV,Free,10847,V,22000
50,NDR 1 Nieders. ,RADIO,Free,12266,H,27500
50,STB Telestar ,DATA,Free,12604,H,22000
51, ,DTV,Free,10847,V,22000
51,NDR Info Spez. ,RADIO,Free,12266,H,27500
51,STB METZ Werke ,DATA,Free,12604,H,22000
52, ,DTV,Free,10847,V,22000
52,NDR Blue ,RADIO,Free,12266,H,27500
52,IDS DOWNLOAD SVC ,DATA,Free,12604,H,22000
53,GU˝A F`CIL ,DTV,Free,10847,V,22000
53,NDR Plus ,RADIO,Free,12266,H,27500
53,RAPS ,DATA,Free,12633,H,22000
54,rbb Brandenburg HD ,DTV,Free,10891,H,22000
54,Bremen Eins ,RADIO,Free,12266,H,27500
54,Schwaiger OTA Service ,DATA,Free,12692,H,22000
55,rbb Berlin HD ,DTV,Free,10891,H,22000
55,Bremen Zwei ,RADIO,Free,12266,H,27500
56,MDR Sachsen HD ,DTV,Free,10891,H,22000
56,Bremen Vier ,RADIO,Free,12266,H,27500
57,MDR S-Anhalt HD ,DTV,Free,10891,H,22000
57,Inforadio ,RADIO,Free,12266,H,27500
58,MDR Thüringen HD ,DTV,Free,10891,H,22000
58,Kulturradio ,RADIO,Free,12266,H,27500
58,PUSH VOD COLLECTIVITES ,DATA,Free,12363,V,27500
59,hr-fernsehen HD ,DTV,Free,10891,H,22000
59,Antenne Brandenburg ,RADIO,Free,12266,H,27500
59,DATA SERVICE R7 ,DATA,Free,12363,V,27500
60,. ,DTV,Free,10921,H,22000
60,radioBERLIN 88 8 ,RADIO,Free,12266,H,27500
60,DATA SERVICE R9 ,DATA,Free,12363,V,27500
61,eoTV ,DTV,Free,10921,H,22000
